Image_File,Frame_Number,Timestamp,Total_Detections,target_objects,conf_threshold,frame_skip,start_time,end_time,color_filter
00_00_07_F229.png,229,00:00:07,1,person,0.25,5,00:00:00,00:00:59,None
00_00_10_F329.png,329,00:00:10,1,person,0.25,5,00:00:00,00:00:59,None
00_00_11_F359.png,359,00:00:11,1,person,0.25,5,00:00:00,00:00:59,None
00_00_12_F364.png,364,00:00:12,1,person,0.25,5,00:00:00,00:00:59,None
00_00_12_F389.png,389,00:00:12,1,person,0.25,5,00:00:00,00:00:59,None
00_00_13_F394.png,394,00:00:13,1,person,0.25,5,00:00:00,00:00:59,None
00_00_13_F399.png,399,00:00:13,1,person,0.25,5,00:00:00,00:00:59,None
00_00_13_F404.png,404,00:00:13,1,person,0.25,5,00:00:00,00:00:59,None
00_00_13_F409.png,409,00:00:13,1,person,0.25,5,00:00:00,00:00:59,None
00_00_13_F414.png,414,00:00:13,1,person,0.25,5,00:00:00,00:00:59,None
00_00_13_F419.png,419,00:00:13,1,person,0.25,5,00:00:00,00:00:59,None
00_00_14_F424.png,424,00:00:14,1,person,0.25,5,00:00:00,00:00:59,None
00_00_14_F429.png,429,00:00:14,1,person,0.25,5,00:00:00,00:00:59,None
00_00_14_F434.png,434,00:00:14,1,person,0.25,5,00:00:00,00:00:59,None
00_00_14_F439.png,439,00:00:14,1,person,0.25,5,00:00:00,00:00:59,None
00_00_14_F444.png,444,00:00:14,1,person,0.25,5,00:00:00,00:00:59,None
00_00_16_F499.png,499,00:00:16,1,person,0.25,5,00:00:00,00:00:59,None
00_00_17_F514.png,514,00:00:17,1,person,0.25,5,00:00:00,00:00:59,None
00_00_18_F564.png,564,00:00:18,2,person,0.25,5,00:00:00,00:00:59,None
00_00_18_F569.png,569,00:00:18,1,person,0.25,5,00:00:00,00:00:59,None
00_00_19_F594.png,594,00:00:19,1,person,0.25,5,00:00:00,00:00:59,None
00_00_19_F599.png,599,00:00:19,1,person,0.25,5,00:00:00,00:00:59,None
00_00_21_F649.png,649,00:00:21,1,person,0.25,5,00:00:00,00:00:59,None
00_00_21_F659.png,659,00:00:21,1,person,0.25,5,00:00:00,00:00:59,None
00_00_22_F684.png,684,00:00:22,1,person,0.25,5,00:00:00,00:00:59,None
00_00_23_F704.png,704,00:00:23,1,person,0.25,5,00:00:00,00:00:59,None
00_00_23_F709.png,709,00:00:23,1,person,0.25,5,00:00:00,00:00:59,None
00_00_24_F724.png,724,00:00:24,1,person,0.25,5,00:00:00,00:00:59,None
00_00_24_F729.png,729,00:00:24,1,person,0.25,5,00:00:00,00:00:59,None
00_00_24_F734.png,734,00:00:24,1,person,0.25,5,00:00:00,00:00:59,None
00_00_24_F739.png,739,00:00:24,1,person,0.25,5,00:00:00,00:00:59,None
00_00_24_F744.png,744,00:00:24,1,person,0.25,5,00:00:00,00:00:59,None
00_00_24_F749.png,749,00:00:24,1,person,0.25,5,00:00:00,00:00:59,None
00_00_25_F754.png,754,00:00:25,1,person,0.25,5,00:00:00,00:00:59,None
00_00_25_F764.png,764,00:00:25,1,person,0.25,5,00:00:00,00:00:59,None
00_00_25_F769.png,769,00:00:25,1,person,0.25,5,00:00:00,00:00:59,None
00_00_25_F779.png,779,00:00:25,1,person,0.25,5,00:00:00,00:00:59,None
00_00_26_F789.png,789,00:00:26,1,person,0.25,5,00:00:00,00:00:59,None
00_00_26_F794.png,794,00:00:26,1,person,0.25,5,00:00:00,00:00:59,None
00_00_26_F799.png,799,00:00:26,1,person,0.25,5,00:00:00,00:00:59,None
00_00_28_F849.png,849,00:00:28,1,person,0.25,5,00:00:00,00:00:59,None
00_00_38_F1164.png,1164,00:00:38,1,person,0.25,5,00:00:00,00:00:59,None
00_00_41_F1254.png,1254,00:00:41,1,person,0.25,5,00:00:00,00:00:59,None
00_00_41_F1259.png,1259,00:00:41,1,person,0.25,5,00:00:00,00:00:59,None
00_00_43_F1304.png,1304,00:00:43,1,person,0.25,5,00:00:00,00:00:59,None
00_00_43_F1314.png,1314,00:00:43,2,person,0.25,5,00:00:00,00:00:59,None
00_00_44_F1324.png,1324,00:00:44,1,person,0.25,5,00:00:00,00:00:59,None
00_00_44_F1329.png,1329,00:00:44,1,person,0.25,5,00:00:00,00:00:59,None
00_00_44_F1344.png,1344,00:00:44,2,person,0.25,5,00:00:00,00:00:59,None
00_00_44_F1349.png,1349,00:00:44,1,person,0.25,5,00:00:00,00:00:59,None
00_00_45_F1354.png,1354,00:00:45,1,person,0.25,5,00:00:00,00:00:59,None
00_00_47_F1429.png,1429,00:00:47,1,person,0.25,5,00:00:00,00:00:59,None
00_00_47_F1439.png,1439,00:00:47,3,person,0.25,5,00:00:00,00:00:59,None
00_00_48_F1464.png,1464,00:00:48,1,person,0.25,5,00:00:00,00:00:59,None
00_00_49_F1484.png,1484,00:00:49,1,person,0.25,5,00:00:00,00:00:59,None
00_00_49_F1489.png,1489,00:00:49,1,person,0.25,5,00:00:00,00:00:59,None
00_00_49_F1494.png,1494,00:00:49,1,person,0.25,5,00:00:00,00:00:59,None
00_00_49_F1499.png,1499,00:00:49,1,person,0.25,5,00:00:00,00:00:59,None
